name,capitulo,modalidad,modalidad_articulo,descripcion,caracteristica_articulo
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,HOMICIDIO SIMPLE,116,DAR MUERTE A UNA PERSONA SIN CONCURRIR LAS CIRCUNSTANCIAS CONTEMPLADAS EN EL ART÷CULO 117 DEL CODIGO PENAL ,
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,CON ALEVOSIA,117-1
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,CON PREMEDITACION CONOCIDA,117-2
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE INUNDACI‡N,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE INCENDIO,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE DESCARRILAMIENTO,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE VARAMIENTO O AVERIA DE BUQUE,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE VOLCAMIENTO,117-4
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE  EXPLOSION,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,"OTRO ARTIFICIO QUE PUEDA OCASIONAR GRANDES ESTRAGOS, SIEMPRE QUE HAYA DOLO O INTENCIONALIDAD",117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,POR MEDIO DE ENVENENAMIENTO,117-3
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,"CON ENSA•AMIENTO, AUMENTANDO DELIBERADA E INHUMANAMENTE EL DOLOR DEL OFENDIDO",117-4
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,"MEDIANTE PAGO, RECOMPENSA O PROMESA REMUNERATORIA",117 PF
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,ACOMPA•ADO DE ROBO,117 PF
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,ASESINATO,117,ACOMPA•ADO DE VIOLACION,117 PF
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,PARRICIDIO,118,"DAR MUERTE A ALGUNO DE SUS ASCENDIENTES O DESCENDIENTES, A SU C‡NYUGE O A LA PERSONA CON QUIEN HACE VIDA MARITAL",118
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,HOMICIDIO EN RI•A TUMULTUARIA,119,"SI LA MUERTE SE HUBIERE PRODUCIDO RI•ENDO VARIAS PERSONAS ENTRE SI, CONFUSA Y TUMULTUARIAMENTE SIN QUE PUEDA DETERMINARSE EL CAUSANTE DE LAS LESIONES DE EFECTO MORAL, SE IMPONDRµ, A CUANTOS HUBIEREN EJERCIDO VIOLENCIA SOBRE LA V÷CTIMA, ",119
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,HOMICIDIO PRETERINTENCIONAL,120,"CON EL PROP‡SITO DE CAUSAR DA•O EN EL CUERPO O EN LA SALUD, PRODUJERE LA MUERTE DE ALGUNA PERSONA, CUANDO EL MEDIO EMPLEADO NO DEB÷A RAZONABLEMENTE OCASIONARLA,",120
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,HOMICIDIO CULPOSO,121," CUANDO ES RESULTADO DE IMPRUDENCIA, IMPERICIA, NEGLIGENCIA, INOBSERVANCIA DE LEYES, REGLAMENTOS, ‡RDENES, DEBERES O DISCIPLINAS ATENDIDAS SUS CIRCUNSTANCIAS Y LA SITUACI‡N PERSONAL DEL DELINCUENTE; Y S‡LO ES PUNIBLE EN LOS CASOS EXPRESAMENTE DETERMINADOS",121
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,HOMICIDIO CULPOSO AGRAVADO,121 PF,COMETIENDO EL HECHO COMO CONSECUENCIA DE ENCONTRARSE EN ESTADO DE EBRIEDAD O DE HABER CONSUMIDO DROGRAS PROHIBIDAS POR LA LEY,121 PF
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,INFANTICIDIO,123,"LA MADRE QUE PARA OCULTAR SU DESHONRA, DA MUERTE AL HIJO QUE NO HAYA CUMPLIDO TRES (3) D÷AS DE NACIDO",123
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,INTENTO DE SUICIDIO,124,INTENTARE SUICIDARSE,124
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,INDUCCION AL SUICIDIO,125,INDUCIR A OTRO A SUICIDARSE  ,125
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,HOMICIDIO,COMPLICE AL SUICIDIO,125,LE PRESTARE AUXILIO PARA QUE LO HAGA.  SI EL SUICIDIO SE CONSUMARE.,125
DELITOS CONTRA LA VIDA Y LA INTEGRIDAD CORPORAL,ABORTO,ABORTO,126,CON CONSENTIMIENTO,126.1
